ACCUSING,blaming,The policeman was accusing the man of stealing a wallet.
AFFECTIONATE,showing fondness towards someone,Most mothers are affectionate to their babies by giving them lots of kisses and cuddles.
AGHAST,horrified; astonished; alarmed,Jane was aghast when she discovered her house had been burgled.
ALARMED,fearful; worried; filled with anxiety,Claire was alarmed when she thought she was being followed home.
AMUSED,finding something funny,I was amused by a funny joke someone told me.
ANNOYED,irritated; displeased,Jack was annoyed when he found out he had missed the last bus home.
ANTICIPATING,expecting,The fans were anticipating a quick goal at the start of the match.
ANXIOUS,worried; tense; uneasy,The student was feeling anxious before taking her final exams.
APOLOGETIC,feeling sorry,The waiter was very apologetic when he spilt soup all over the customer.
ARROGANT,conceited; self-important; having a big opinion of oneself,The arrogant man thought he knew more about politics than everyone else in the room.
ASHAMED,overcome with shame or guilt,The boy felt ashamed when his mother discovered him stealing money from her purse.
ASSERTIVE,confident; dominant; sure of oneself,The assertive woman demanded that the shop give her a refund.
BAFFLED,confused; puzzled; dumbfounded,The detectives were completely baffled by the murder case.
BEWILDERED,utterly confused; puzzled; dazed,The child was bewildered when visiting the big city for the first time.
BORED,not interested;,The child was bored with his old toys.
CAUTIOUS,careful; wary,Sarah was always a bit cautious when talking to someone she did not know.
COMFORTING,consoling; compassionate,The nurse was comforting the wounded soldier.
CONCERNED,worried; troubled,The doctor was concerned when his patient took a turn for the worse.
CONFIDENT,self-assured; believing in oneself,The tennis player was feeling very confident about winning his match.
CONFUSED,puzzled; perplexed,Lizzie was so confused by the directions given to her; she got lost.
CONTEMPLATIVE,reflective; thoughtful; considering,John was in a contemplative mood on the eve of his 60th birthday.
CONTENTED,satisfied,David felt very contented after a nice walk and a good meal
CONVINCED,certain; absolutely positive,Richard was convinced he had come to the right decision.
CURIOUS,inquisitive; inquiring; prying,Louise was curious about the strange shaped parcel.
DECIDING,making your mind up,The man was deciding whom to vote for in the election.
DECISIVE,already made your mind up,Jane looked very decisive as she walked into the polling station.
DEFIANT,insolent; bold; dont care what anyone else thinks,The animal protester remained defiant even after being sent to prison.
DEPRESSED,miserable,George was depressed when he didn't receive any birthday cards.
DESIRE,passion; lust; longing for,Kate had a strong desire for chocolate.
DESPONDENT,gloomy; despairing; without hope,Gary was despondent when he did not get the job he wanted.
DISAPPOINTED,displeased; disgruntled,Manchester United fans were disappointed not to win the Championship.
DISPIRITED,glum; miserable; low,Adam was dispirited when he failed his exams.
DISTRUSTFUL,suspicious; doubtful; wary,The old woman was distrustful of the stranger at her door.
DOMINANT,commanding; bossy,The sergeant major looked dominant as he inspected the new recruits.
DOUBTFUL,dubious; suspicious; not really believing,Mary was doubtful that her son was telling the truth.
DUBIOUS,doubtful; suspicious,Peter was dubious when offered a surprisingly cheap television in a pub.
EAGER,keen,On Christmas morning; the children were eager to open their presents.
EARNEST,having a serious intention,Harry was very earnest about his religious beliefs.
EMBARRASSED,ashamed,Jenny felt very embarrassed after forgetting a colleague's name.
ENCOURAGING,hopeful; heartening; supporting,All the parents were encouraging their children in the school sports day.
ENTERTAINED,absorbed and amused or pleased by something,I was very entertained by the magician.
ENTHUSIASTIC,very eager; keen,Susan felt very enthusiastic about her new fitness plan.
EXCITED,enthusiastic; eager;,The children were too excited about their surprise to fall asleep
FANTASIZING,daydreaming,Emma was fantasizing about being a film star.
FASCINATED,captivated; really interested,The children were fascinated by the creatures in the rock pools at the seaside.
FEARFUL,terrified; worried,The women felt fearful in the dark streets.
FLIRTATIOUS,brazen; saucy; teasing; playful,Connie was accused of being flirtatious when she winked at a stranger at a party.
FLUSTERED,confused; nervous and upset,Sarah felt a bit flustered when she realised how late she was for the meeting and that she had forgotten an important document.
FRIENDLY,sociable; amiable,The friendly girl showed the tourists the way to the town centre.
GRATEFUL,thankful,Kelly was very grateful for the kindness shown by the stranger.
GUILTY,feeling sorry for doing something wrong,Charlie felt guilty about having an affair.
HATEFUL,showing intense dislike,The two sisters were hateful to each other and always fighting.
HOPEFUL,optimistic,Larry was hopeful that the post would bring good news.
HORRIFIED,terrified; appalled,The man was horrified to discover that his new wife was already married.
HOSTILE,unfriendly,The two neighbours were hostile towards each other because of an argument about loud music.
IMPATIENT,restless; wanting something to happen soon,Jane grew increasingly impatient as she waited for her friend who was already 20 minutes late.
IMPLORING,begging; pleading,Nicola looked imploring as she tried to persuade her dad to lend her the car.
INCREDULOUS,not believing,Simon was incredulous when he heard that he had won the lottery.
INDECISIVE,unsure; hesitant; unable to make your mind up,Tammy was so indecisive that she couldn't even decide what to have for lunch.
INDIFFERENT,disinterested; unresponsive; don't care,Terry was completely indifferent as to whether they went to the cinema or the pub.
INSISTING,demanding; persisting; maintaining,After a work outing; Frank was insisting he paid the bill for everyone.
INSULTING,rude; offensive,The football crowd was insulting the referee after he gave a penalty.
INTERESTED,inquiring; curious,Hugh grew very interested in dinosaurs after seeing Jurassic Park.
INTRIGUED,very curious; very interested,A mystery phone call intrigued Zoe.
IRRITATED,exasperated; annoyed,Frances was irritated by all the junk mail she received.
JEALOUS,envious,Tony was jealous of all the taller and better-looking boys in his class.
JOKING,being funny; playful,Gary was always joking with his friends.
NERVOUS,apprehensive; tense; worried,Alice felt very nervous just before her job interview
OFFENDED,insulted; wounded; having hurt feelings,Martha felt very offended when someone made a joke about her weight.
PANICKED,distraught; feeling of terror or anxiety,The whole family was panicked when they woke to find the house on fire.
PENSIVE,thinking about something slightly worrying,Susie looked pensive on the way to meeting her boyfriend's parents for the first time.
PERPLEXED,bewildered; puzzled; confused,Frank was perplexed by the disappearance of his garden gnomes.
PLAYFUL,full of high spirits and fun,Neil was feeling playful at his birthday party.
PREOCCUPIED,absorbed; engrossed in one's own thoughts,Worrying about her mother's illness made Debbie preoccupied at work.
PUZZLED,perplexed; bewildered; confused,June was still puzzled after doing the crossword for an hour.
REASSURING,supporting; encouraging; giving someone confidence,Andy tried to look reassuring as he told his wife that her new dress did suit her.
REFLECTIVE,contemplative; thoughtful,George was in a reflective mood as he thought about what he'd done with his life.
REGRETFUL,sorry,Lee was always regretful that he had never travelled when he was younger.
RELAXED,taking it easy; calm; carefree,Pam felt happy and relaxed on holiday.
RELIEVED,freed from worry or anxiety,Ray was relieved to find that he had not forgotten his wallet at the restaurant.
RESENTFUL,bitter; hostile,The businessman felt very resentful towards his younger colleague who had been promoted above him.
SARCASTIC,cynical; mocking; scornful,The comedian made a sarcastic comment when someone came into the theatre late.
SATISFIED,content; fulfilled,Steve felt very satisfied after he had got his new flat just how he wanted it.
SKEPTICAL,doubtful; suspicious; mistrusting,Patrick looked sceptical as someone read out his horoscope to him.
SHY,bashful; reserved,She was too shy to speak around others in the group.
SERIOUS,solemn; grave,The bank manager looked serious as he refused Nigel an overdraft.
STERN,severe; strict; firm,The teacher looked very stern as he told the class off.
SUSPICIOUS,disbelieving; suspecting; doubting,Sam grew suspicious of one of his colleagues after losing his wallet for the second time at work.
SYMPATHETIC,kind; compassionate,The nurse looked sympathetic as she told the patient the bad news.
TENTATIVE,hesitant; uncertain; cautious,Andrew felt a bit tentative as he went into the room full of strangers.
TERRIFIED,alarmed; fearful,The boy was terrified when he thought he saw a ghost.
THOUGHTFUL,thinking about something,Phil looked thoughtful as he sat waiting for the girlfriend he was about to finish with.
THREATENING,menacing; intimidating,The large and drunken man was acting in a very threatening way.
UNEASY,unsettled; apprehensive; troubled,Karen felt slightly uneasy about accepting a lift from the man she had only met that day.
UPSET,agitated; worried; uneasy,The man was very upset when his mother died.
WORRIED,anxious; fretful; troubled,The girl was very worried when her cat went missing.
